long1,lat,id1,statename,pcname,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,party1,sex_ratio_e,f_vote_turnout,m_vote_turnout,color,l_t,l_t1
78.803673,28.200556,438,Uttar Pradesh,Badaun,978040,791044,1769145,595106,431771,1026884,SP,809,54.599998,60.799999,green,10,7.4863043
80.195877,26.301033,462,Uttar Pradesh,Akbarpur,977669,790872,1768635,559566,411414,970980,BJP,809,52,57.200001,#E69F19,10,7.4841461
84.048668,25.734211,481,Uttar Pradesh,Ballia,973384,794830,1768271,517773,423406,941182,BJP,817,53.299999,53.200001,#E69F19,10,7.4826059
82.869148,25.293262,493,Uttar Pradesh,Varanasi,985395,781000,1766487,593071,436735,1029816,BJP,793,55.900002,60.200001,#E69F19,10,7.4750566
72.938873,20.903177,140,Gujarat,Navsari,972090,792480,1764622,644265,512736,1157014,BJP,815,64.699997,66.300003,#E69F19,10,7.467165
77.796623,28.860558,428,Uttar Pradesh,Meerut,971956,792318,1764388,631761,479781,1111542,BJP,815,60.599998,65,#E69F19,10,7.4661746
82.87439,27.275167,448,Uttar Pradesh,Domariyaganj,961957,799313,1761415,490089,444938,935027,BJP,831,55.700001,50.900002,#E69F19,10,7.4535942
83.553062,26.43931,460,Uttar Pradesh,Bansgaon,980235,779762,1760090,459714,417437,877152,BJP,795,53.5,46.900002,#E69F19,10,7.4479871
76.315681,21.925396,261,Madhya Pradesh,KHANDWA,912764,846610,1759417,677300,578287,1255596,BJP,928,68.300003,74.199997,#E69F19,10,7.4451394
76.085365,18.17989,281,Maharashtra,Osmanabad,934227,824943,1759186,611537,505020,1116572,SHS,883,61.200001,65.5,#EC5B13,10,7.4441619
78.146004,27.681257,447,Uttar Pradesh,Hathras,969908,788925,1758927,596865,452373,1049240,BJP,813,57.299999,61.5,#E69F19,10,7.4430656
74.152138,16.302734,299,Maharashtra,Kolhapur,909286,849002,1758293,663565,595421,1258986,NCP,934,70.099998,73,blue,10,7.440383
77.80471,20.263748,310,Maharashtra,Yavatmal-Washim,921276,834010,1755292,564176,467163,1031339,SHS,905,56,61.200001,#EC5B13,10,7.4276838
74.869705,25.497847,364,Rajasthan,Bhilwara,904045,850856,1754901,580533,521628,1102161,BJP,941,61.299999,64.199997,#E69F19,10,7.4260297
74.737114,28.556276,349,Rajasthan,Churu,928059,825765,1753825,598297,529280,1127578,BJP,890,64.099998,64.5,#E69F19,10,7.4214764
79.019547,19.974554,290,Maharashtra,Chandrapur,921095,832595,1753690,602269,506480,1108749,BJP,904,60.799999,65.400002,#E69F19,10,7.4209051
77.202087,28.48518,117,NCT OF Delhi,SOUTH DELHI,1005299,747322,1752748,639042,462222,1101277,BJP,743,61.900002,63.599998,#E69F19,10,7.4169188
76.015938,25.236553,365,Rajasthan,Kota,913387,831152,1744539,632156,518136,1150292,BJP,910,62.299999,69.199997,#E69F19,10,7.3821816
82.624298,21.747662,100,Chhattisgarh,JANJGIR-CHAMPA,895884,848077,1744201,558932,514393,1073325,,947,60.700001,62.400002,red,10,7.3807516
83.535324,27.201141,451,Uttar Pradesh,Maharajganj,946234,796767,1743131,549757,510481,1060238,BJP,842,64.099998,58.099998,#E69F19,10,7.3762236
77.332939,28.158781,161,Haryana,Faridabad,969407,770945,1740352,651241,479430,1130671,BJP,795,62.200001,67.199997,#E69F19,10,7.3644638
81.831795,26.732262,467,Uttar Pradesh,Faizabad,936036,802604,1738701,558076,464473,1022558,BJP,857,57.900002,59.599998,#E69F19,10,7.3574777
81.496208,25.592339,480,Uttar Pradesh,Kaushambi,954848,783372,1738509,491070,418758,909828,BJP,820,53.5,51.400002,#E69F19,10,7.3566651
79.912254,25.588947,479,Uttar Pradesh,Hamirpur,949328,788636,1737993,550111,427480,977593,BJP,831,54.200001,57.900002,#E69F19,10,7.3544817
72.864296,19.074545,304,Maharashtra,Mumbai North central,967468,769592,1737084,472010,372857,844867,BJP,795,48.400002,48.799999,#E69F19,10,7.3506351
78.091934,28.381691,434,Uttar Pradesh,Bulandshahr,930827,805499,1736436,549613,459467,1009095,BJP,865,57,59,#E69F19,10,7.3478932
84.95311,25.462822,84,Bihar,Pataliputra,934086,801923,1736074,553018,423797,976815,BJP,859,52.799999,59.200001,#E69F19,10,7.3463612
82.00811,24.16551,239,Madhya Pradesh,SIDHI,915799,820208,1736048,547499,441120,988619,BJP,896,53.799999,59.799999,#E69F19,10,7.346251
72.347931,22.983776,145,Gujarat,Gandhinagar,900744,833210,1733972,617164,511490,1128656,BJP,925,61.400002,68.5,#E69F19,10,7.3374662
81.944496,22.236969,103,Chhattisgarh,BILASPUR,891316,837889,1729229,573078,516910,1089988,,940,61.700001,64.300003,red,10,7.3173962
72.259468,26.972548,353,Rajasthan,Jodhpur,910621,817170,1727791,596225,475258,1071483,BJP,897,58.200001,65.5,#E69F19,10,7.3113108
74.935959,17.836735,265,Maharashtra,Madha,912715,814603,1727322,594868,483305,1078173,NCP,893,59.299999,65.199997,blue,10,7.3093262
86.764038,25.803692,74,Bihar,Madhepura,899152,826507,1725693,508782,525869,1034651,RJD,919,63.599998,56.599998,red,10,7.302433
80.347122,27.090208,455,Uttar Pradesh,Misrikh,948316,777207,1725589,574416,423674,998090,BJP,820,54.5,60.599998,#E69F19,10,7.3019929
75.984032,12.322643,198,Karnataka,Mysore,867893,855100,1723134,596311,561022,1157346,BJP,985,65.599998,68.699997,#E69F19,10,7.2916045
83.254631,17.920902,40,Andhra Pradesh,Visakhapatnam,874909,847941,1723011,583232,576946,1160178,BJP,969,68,66.699997,#E69F19,10,7.2910838
76.908173,17.106039,183,Karnataka,Gulbarga,878311,843454,1721990,522778,474347,997125,INC,960,56.200001,59.5,#04C4FC,10,7.2867637
81.27655,26.958258,456,Uttar Pradesh,Barabanki,925944,795265,1721278,611146,457015,1068161,BJP,859,57.5,66,#E69F19,10,7.2837505
82.619194,24.985413,474,Uttar Pradesh,Mirzapur,938504,782028,1720661,557612,449962,1007581,AD,833,57.5,59.400002,red,10,7.2811399
77.157768,11.015341,379,Tamil Nadu,Coimbatore,869033,851127,1720221,608444,565861,1174312,ADMK,979,66.5,70,red,10,7.2792778
73.994804,17.622574,266,Maharashtra,Satara,883947,836051,1719998,519148,456561,975709,NCP,946,54.599998,58.700001,blue,10,7.2783341
86.161781,25.267544,88,Bihar,Munger,937897,782040,1719984,505931,408329,914268,LJP,834,52.200001,53.900002,red,10,7.278275
82.521217,26.457308,487,Uttar Pradesh,Ambedkar Nagar,923552,795143,1718774,541195,493159,1034355,BJP,861,62,58.599998,#E69F19,10,7.2731547
73.910225,29.502329,367,Rajasthan,Ganganagar,909749,808665,1718414,678212,573241,1251453,BJP,889,70.900002,74.5,#E69F19,10,7.2716312
81.954285,25.920546,478,Uttar Pradesh,Pratapgarh,923411,792852,1716394,454891,437808,892732,AD,859,55.200001,49.299999,red,10,7.2630835
80.046471,27.451101,446,Uttar Pradesh,Hardoi,939831,774501,1714388,565516,407349,972865,BJP,824,52.599998,60.200001,#E69F19,10,7.2545948
81.763252,27.169792,453,Uttar Pradesh,Kaiserganj,928269,783633,1711967,527027,415386,942413,BJP,844,53,56.799999,#E69F19,10,7.24435
79.951736,23.171768,256,Madhya Pradesh,JABALPUR,898045,813502,1711621,558905,443227,1002132,BJP,906,54.5,62.200001,#E69F19,10,7.2428861
82.23246,27.125063,454,Uttar Pradesh,Gonda,935167,775608,1710825,487483,384938,872422,BJP,829,49.599998,52.099998,#E69F19,10,7.2395177
75.997246,26.168852,356,Rajasthan,TONK-SAWAI MADHOPUR,910730,800045,1710775,583732,459375,1043107,BJP,878,57.400002,64.099998,#E69F19,10,7.239306
75.214661,20.80406,267,Maharashtra,Jalgaon,909058,798886,1707969,550503,439312,989821,BJP,879,55,60.599998,#E69F19,10,7.2274323
79.35527,26.582813,468,Uttar Pradesh,Etawah,938271,768913,1707237,529547,408334,937881,BJP,819,53.099998,56.400002,#E69F19,10,7.2243347
74.847092,18.976629,294,Maharashtra,Ahmadnagar,902928,802016,1705005,594749,465801,1060551,BJP,888,58.099998,65.900002,#E69F19,10,7.21489
82.210625,26.252638,469,Uttar Pradesh,Sultanpur,910134,793521,1703698,499563,465648,965211,BJP,872,58.700001,54.900002,#E69F19,10,7.2093592
75.324112,21.853849,255,Madhya Pradesh,KHARGONE,866905,836341,1703272,613926,537792,1151722,BJP,965,64.300003,70.800003,#E69F19,10,7.2075562
83.232155,26.058123,459,Uttar Pradesh,Azamgarh,941447,761573,1703121,504375,455380,959755,SP,809,59.799999,53.599998,green,10,7.2069173
80.187927,24.348469,260,Madhya Pradesh,KHAJURAHO,907340,795472,1702833,517233,357041,874283,BJP,877,44.900002,57,#E69F19,10,7.205699
80.031761,13.249762,398,Tamil Nadu,Thiruvallur,852794,849777,1702833,644387,609702,1254112,ADMK,996,71.699997,75.599998,red,10,7.205699
75.780174,17.595493,270,Maharashtra,Solapur,893734,808990,1702739,526695,423356,950051,BJP,905,52.299999,58.900002,#E69F19,10,7.2053008
74.63401,22.802206,248,Madhya Pradesh,RATLAM,860924,841625,1702576,569214,511452,1080666,BJP,978,60.799999,66.099998,#E69F19,10,7.2046113
77.382759,26.03931,258,Madhya Pradesh,MORENA,938787,763635,1702457,538721,315516,854238,BJP,813,41.299999,57.400002,#E69F19,10,7.2041078
74.029434,25.950495,362,Rajasthan,Rajsamand,880398,820791,1701194,506425,471078,977503,BJP,932,57.400002,57.5,#E69F19,10,7.1987634
75.867996,27.254362,373,Rajasthan,Jaipur Rural,906858,793449,1700307,556476,452621,1009097,BJP,875,57,61.400002,#E69F19,10,7.1950097
74.184593,23.564957,371,Rajasthan,Banswara,866441,831800,1698244,578240,590772,1169012,BJP,960,71,66.699997,#E69F19,10,7.1862798
75.455299,28.079002,351,Rajasthan,Jhunjhunu,894068,803402,1697470,521812,479727,1001539,BJP,899,59.700001,58.400002,#E69F19,10,7.1830049
73.344452,19.425438,286,Maharashtra,Bhiwandi,945521,751031,1696584,502705,372339,875044,BJP,794,49.599998,53.200001,#E69F19,10,7.1792555
85.607689,24.845135,78,Bihar,Nawada,897821,797019,1694895,478247,406136,884383,BJP,888,51,53.299999,#E69F19,7.5,7.1721082
78.677353,28.614992,427,Uttar Pradesh,Sambhal,931603,761516,1693229,599491,456319,1055817,BJP,817,59.900002,64.400002,#E69F19,7.5,7.1650586
77.094482,30.404091,152,Haryana,Ambala,909641,782783,1692424,667712,551882,1219594,BJP,861,70.5,73.400002,#E69F19,7.5,7.1616521
77.074936,27.317186,357,Rajasthan,BHARATPUR,910990,779714,1690705,547046,413081,960127,BJP,856,53,60,#E69F19,7.5,7.1543779
77.516541,18.875555,309,Maharashtra,Nanded,878520,808528,1687057,548032,462233,1010265,INC,920,57.200001,62.400002,#04C4FC,7.5,7.1389413
76.879189,18.528772,296,Maharashtra,Latur,902170,784780,1686957,576599,477934,1054533,BJP,870,60.900002,63.900002,#E69F19,7.5,7.1385179
87.134995,25.285322,87,Bihar,Bhagalpur,895185,790098,1685339,522417,451535,973953,RJD,883,57.099998,58.400002,red,7.5,7.1316714
88.347687,22.497843,522,West Bengal,Kolkata Dakshin,890251,795037,1685296,626618,540007,1166625,AITC,893,67.900002,70.400002,green,7.5,7.1314893
76.905319,29.568861,155,Haryana,Karnal,913321,771000,1684321,666729,526629,1193358,BJP,844,68.300003,73,#E69F19,7.5,7.1273637
74.931084,26.340565,359,Rajasthan,Ajmer,869322,813938,1683261,613187,540384,1153571,BJP,936,66.400002,70.5,#E69F19,7.5,7.1228781
77.628334,27.596436,444,Uttar Pradesh,Mathura,931944,750142,1682260,619776,457879,1077656,BJP,805,61,66.5,#E69F19,7.5,7.1186423
83.841812,26.924599,457,Uttar Pradesh,Kushi Nagar,930637,750240,1680992,505771,444293,950064,BJP,806,59.200001,54.299999,#E69F19,7.5,7.1132765
71.035995,26.399237,358,Rajasthan,Barmer,896867,783282,1680152,653991,562013,1216004,BJP,873,71.800003,72.900002,#E69F19,7.5,7.1097221
80.677299,28.22879,435,Uttar Pradesh,Kheri,904863,774542,1679466,606219,471614,1077848,BJP,856,60.900002,67,#E69F19,7.5,7.1068192
74.19783,27.166082,355,Rajasthan,Nagaur,886728,791932,1678660,531452,469913,1001365,BJP,893,59.299999,59.900002,#E69F19,7.5,7.1034083
79.08757,21.176285,272,Maharashtra,Ramtek,887228,790024,1677266,576271,473007,1049278,SHS,890,59.900002,65,#EC5B13,7.5,7.0975094
74.535225,20.88525,283,Maharashtra,Dhule,879332,796027,1675367,540775,438455,979230,BJP,905,55.099998,61.5,#E69F19,7.5,7.0894737
74.329376,21.407543,273,Maharashtra,Nandurbar,852313,820622,1672943,583431,530953,1114384,BJP,963,64.699997,68.5,#E69F19,7.5,7.0792165
77.016235,20.599836,268,Maharashtra,Akola,882014,790609,1672643,543956,433633,977589,BJP,896,54.799999,61.700001,#E69F19,7.5,7.0779471
79.915344,28.573158,433,Uttar Pradesh,Pilibhit,903414,767687,1671154,586095,464229,1050342,BJP,850,60.5,64.900002,#E69F19,7.5,7.0716462
